rank,Account Name,No. of Employees,Website,HQ Billing Country,Billing State/Province,Billing City,Billing Street,Billing Zip/Postal Code,Industry,LinkedIn Company Id,Account LinkedIn URL,Core Account Fit Tier,score_size,score_industry,score_tier,score_data,lead_score,category,web_verdict,web_notes,us_contactability,hr_contacts
203,Hello Direct,157,hellodirect.com,,Florida,Cape Canaveral,77 Northeastern Boulevard,3062,Telecommunications,9823.0,https://www.linkedin.com/company/hello-direct,Tier 3,40,30,7.0,10,87.0,A - Hot (contact first),,,,
204,Joseph Stone Capital,84,josephstonecapital.com,,New York,Mineola,,,Investment Management,11750632.0,https://www.linkedin.com/company/josephstonecapital,Tier 3,40,30,7.0,10,87.0,A - Hot (contact first),,,,
205,Siccion Labs,88,siccion.com,,Pennsylvania,,,,Information Services,69103584.0,https://www.linkedin.com/company/siccion-labs,Tier 3,40,30,7.0,10,87.0,A - Hot (contact first),,,,
206,Data Power Technology,85,dptgroup.com,,Iowa,Urbandale,3041 JUSTIN DR,50322,IT Services and IT Consulting,8026711.0,http://www.linkedin.com/company/dpt-group-inc-,Tier 3,40,30,7.0,10,87.0,A - Hot (contact first),,,,
207,Mcneal Professional Services,46,mcnealpro.com,,Georgia,Kennesaw,2601 Summers Street,30144,Telecommunications,905458.0,https://www.linkedin.com/company/mcneal-professional-staffing,Tier 2,32,30,14.0,10,86.0,A - Hot (contact first),,,,
208,S+S Industries,113,ssind.com,,Texas,,,,Electric Power Generation,,https://www.linkedin.com/company/s-sindustries,Tier 1,40,18,20.0,8,86.0,A - Hot (contact first),,,,
209,Wi Clark Company,93,wiclark.com,,Connecticut,Franklin,,6254,Technology Information and Internet,,https://www.linkedin.com/company/the-w-i-clark-company,Tier 3,40,30,7.0,8,85.0,A - Hot (contact first),,,,
210,Adzzoo,156,adzzoo.net,,Missouri,Festus,,,Advertising Services,,https://www.linkedin.com/company/adzzoo_5,Tier 3,40,30,7.0,8,85.0,A - Hot (contact first),,,,
211,"Twin Oaks Community, Incorporated",90,twinoaks.org,,Virginia,Louisa,138 Twin Oaks Rd,,Business Consulting and Services,,https://www.linkedin.com/company/twin-oaks-community-incorporated,Tier 3,40,30,7.0,8,85.0,A - Hot (contact first),,,,
212,"Family Hospitality, Inc.",99,familyhospitality.com,,Tennessee,Brentwood,549 Midway Cir,,Advertising Services,,https://www.linkedin.com/company/the-family-hospitality-group,Tier 3,40,30,7.0,8,85.0,A - Hot (contact first),,,,
213,Huntington Federal Savings Bank,98,huntingtonfederal.com,,West Virginia,Huntington,,,Credit Intermediation,60124161.0,https://www.linkedin.com/company/huntington-federal-savings-bank,Tier 3,40,28,7.0,10,85.0,A - Hot (contact first),,,,
214,Optical Solutions,58,opticalsolutions.com,,Minnesota,Minneapolis,,,Telecommunications,,https://www.linkedin.com/company/optical-solutions,Tier 3,40,30,7.0,8,85.0,A - Hot (contact first),,,,
215,"KamMcO Health Solutions, Inc.",61,khinonline.org,,Kansas,Topeka,623 Sw 10Th Ave,,IT Services and IT Consulting,,https://www.linkedin.com/company/kansas-health-information-network,Tier 3,40,30,7.0,8,85.0,A - Hot (contact first),,,,
216,Woven Solutions,77,wovensolutions.io,,Virginia,,,,IT Services and IT Consulting,,https://www.linkedin.com/company/woven-solutions,Tier 3,40,30,7.0,8,85.0,A - Hot (contact first),,,,
217,Goby,52,esg.conservice.com,,Illinois,,,,IT Services and IT Consulting,,https://www.linkedin.com/company/goby,Tier 3,40,30,7.0,8,85.0,A - Hot (contact first),,,,
218,"Jilco Industries, Inc.",52,preferredairparts.com,,Ohio,Kidron,11234 Hackett Rd,,Aviation and Aerospace Component Manufacturing,,https://www.linkedin.com/company/preferredairpartsllc,Tier 3,40,30,7.0,8,85.0,A - Hot (contact first),,,,
219,Petshop,53,petshop.ru,,Florida,St. Petersburg,,,IT Services and IT Consulting,,https://www.linkedin.com/company/petshop-ru,Tier 3,40,30,7.0,8,85.0,A - Hot (contact first),,,,
220,Dolce Vita Hair Salon,52,dolcevitasalons.com,,Georgia,,,,Design Services,,https://www.linkedin.com/company/dolce-vita-hair-salon,Tier 3,40,30,7.0,8,85.0,A - Hot (contact first),,,,
221,"E&H Integrated Systems, Inc.",59,eandhis.com,,Kentucky,Louisville,1903 Stanley Gault Pkwy,,IT Services and IT Consulting,,https://www.linkedin.com/company/e-h-integrated-systems,Tier 3,40,30,7.0,8,85.0,A - Hot (contact first),,,,
222,"Tosoh Bioscience, Inc.",135,diagnostics.us.tosohbioscience.com,,Ohio,,,,Biotechnology Research,,https://www.linkedin.com/company/tosoh-bioscience-inc.,Tier 3,40,30,7.0,8,85.0,A - Hot (contact first),,,,
223,Avit,59,avitechnologies.net,,New Jersey,Wayne,14102 Sullyfield Cir Ste 150B,20151,IT Services and IT Consulting,,https://www.linkedin.com/company/avit-corporation,Tier 3,40,30,7.0,8,85.0,A - Hot (contact first),,,,
224,"Tire Wholesalers Company, LLC",240,twi.tireweb.com,,Michigan,Oak Park,15100 W 8 Mile Rd,,Software Development,,https://www.linkedin.com/company/tireweb,Tier 3,40,30,7.0,8,85.0,A - Hot (contact first),,,,
225,County of Beaver,128,beaverpl.okpls.org,,Oklahoma,Beaver,111 W 2Nd St,,Technology Information and Internet,,https://www.linkedin.com/company/oklahoma-department-of-libraries,Tier 3,40,30,7.0,8,85.0,A - Hot (contact first),,,,
226,"Quaint Oak Mortgage, LLC",131,quaintoakmortgage.com,,Pennsylvania,Southampton,501 Knowles Ave,,Financial Services,,https://www.linkedin.com/company/quaint-oak-mortgage,Tier 3,40,30,7.0,8,85.0,A - Hot (contact first),,,,
227,"Debt Freedom, Inc.",52,debtpoint.com,,Texas,San Antonio,6715 Bandera Rd,,Financial Services,,https://www.linkedin.com/company/debtpoint,Tier 3,40,30,7.0,8,85.0,A - Hot (contact first),,,,
228,"BAM Enterprises, Inc.",98,bamenterprisesinc.com,,New York,Grand Island,2937 Alt Blvd,,Venture Capital and Private Equity Principals,,https://www.linkedin.com/company/bam-enterprises-inc-,Tier 3,40,30,7.0,8,85.0,A - Hot (contact first),,,,
229,"Dessin Fournir, Inc.",95,dessinfournir.com,,Kansas,Plainville,400 S Jefferson St,,Design Services,,https://www.linkedin.com/company/dessin-fournir-companies,Tier 3,40,30,7.0,8,85.0,A - Hot (contact first),,,,
230,Diario El Día De La Plata,51,eldia.com.ar,,Maryland,La Plata,,,Technology Information and Internet,,https://www.linkedin.com/company/diario-el-día-de-la-plata,Tier 3,40,30,7.0,8,85.0,A - Hot (contact first),,,,
231,Adpump.io,75,adpump.io,,Florida,Hopewell,,,IT Services and IT Consulting,,https://www.linkedin.com/company/adpump-blockchain-marketplace,Tier 3,40,30,7.0,8,85.0,A - Hot (contact first),,,,
232,Twotango Collaborative,52,twotango.co,,Virginia,Richmond,2912 W Leigh St,23230,Advertising Services,,https://www.linkedin.com/company/twotangocollaborative,Tier 3,40,30,7.0,8,85.0,A - Hot (contact first),,,,
233,Trinity College Student Investment Fund,72,tcsif.domains.trincoll.edu,,Connecticut,,,,Investment Management,,https://www.linkedin.com/company/trinity-college-student-investment-fund,Tier 3,40,30,7.0,8,85.0,A - Hot (contact first),,,,
234,GoTriangle,186,gotriangle.org,,North Carolina,Durham,4600 Emperor Blvd. Suite 100,27703,Urban Transit Services,78641.0,https://www.linkedin.com/company/gotriangle,Tier 3,40,28,7.0,10,85.0,A - Hot (contact first),,,,
235,Online Advertising,79,theoneword.com,,District of Columbia,,,,Advertising Services,,https://www.linkedin.com/company/online-advertising,Tier 3,40,30,7.0,8,85.0,A - Hot (contact first),,,,
236,Livingston Bottle King Inc,61,bottleking.com,,New Jersey,Livingston,343 W Mount Pleasant Ave,,Software Development,,https://www.linkedin.com/company/bottle-king-discount-liquors,Tier 3,40,30,7.0,8,85.0,A - Hot (contact first),,,,
237,"FULTON, MONTGOMERY & SCHOHARIE COUNTIES PRIVATE INDUSTRY COUNCIL, INC.",60,fmsworkforcesolutions.org,,New York,Amsterdam,2620 Riverfront Ctr,,Staffing and Recruiting,,https://www.linkedin.com/company/fulton-mongomery-&-schoharie-counties-workforce-development-board,Tier 3,40,30,7.0,8,85.0,A - Hot (contact first),,,,
238,Palm Nft Studio,75,palm.io,,Delaware,,,,Technology Information and Media,76783379.0,https://www.linkedin.com/company/palm-nft-studio,Tier 3,40,28,7.0,10,85.0,A - Hot (contact first),,,,
239,Collib,150,collib.com,,North Carolina,Dunn,,,IT Services and IT Consulting,,https://www.linkedin.com/company/collib-inc,Tier 3,40,30,7.0,8,85.0,A - Hot (contact first),,,,
240,"Crest Automotive, Inc.",75,crestfordcenterline.com,,Michigan,Center Line,26333 Van Dyke Ave,,Staffing and Recruiting,,https://www.linkedin.com/company/crestfordcenterline,Tier 3,40,30,7.0,8,85.0,A - Hot (contact first),,,,
241,Voxdesk By 500apps,75,voxdesk.com,,New York,New York,,,IT Services and IT Consulting,,https://www.linkedin.com/company/voxdesk-by-500apps,Tier 3,40,30,7.0,8,85.0,A - Hot (contact first),,,,
242,Verus Aerospace,79,verusaerospace.com,,New York,New York City,,,Aviation and Aerospace Component Manufacturing,,https://www.linkedin.com/company/verus-aerospace,Tier 3,40,30,7.0,8,85.0,A - Hot (contact first),,,,
243,"Wayne Frier Home Center Of Panama City, Inc.",100,waynefrierhome.com,,Florida,Live Oak,12788 Us Highway 90,,Advertising Services,,https://www.linkedin.com/company/wayne-frier-home-center,Tier 3,40,30,7.0,8,85.0,A - Hot (contact first),,,,
244,Medinep,75,medinep.com,,Texas,Carrollton,,,IT Services and IT Consulting,,https://www.linkedin.com/company/medinepshop,Tier 3,40,30,7.0,8,85.0,A - Hot (contact first),,,,
245,Aeneas Internet & Telephone,82,aeneas.net,,Tennessee,Bolivar,,,Telecommunications,,https://www.linkedin.com/company/aeneas-internet%26telephone,Tier 3,40,30,7.0,8,85.0,A - Hot (contact first),,,,
246,"Advantage Insurance Services, Inc.",59,boudreauinsurance.com,,Maryland,Dunkirk,10020 Southern Maryland Blvd Ste 203,,Insurance,,https://www.linkedin.com/company/boudreauinsurance,Tier 3,40,30,7.0,8,85.0,A - Hot (contact first),,,,
247,Interconnect,94,interconnect.com.ar,,District of Columbia,,,,Telecommunications,,https://www.linkedin.com/company/interconnect-s.a./,Tier 3,40,30,7.0,8,85.0,A - Hot (contact first),,,,
248,Basic Commerce and Industries Inc.,191,bcisse.com,,New Jersey,Moorestown,303 Harper Dr,,Information Services,,https://www.linkedin.com/company/basic-commerce-industries-bci,Tier 3,40,30,7.0,8,85.0,A - Hot (contact first),,,,
249,Onb Investment Services Inc,60,choiceinvestmentservices.com,,Indiana,Evansville,501 Main St,,Investment Management,,https://www.linkedin.com/company/choice-investment-services,Tier 3,40,30,7.0,8,85.0,A - Hot (contact first),,,,
250,Prosperity - An EisnerAmper Company,56,prosperityea.com,,New York,,,,Financial Services,,https://www.linkedin.com/company/the-prosperity-consulting-group-llc,Tier 3,40,30,7.0,8,85.0,A - Hot (contact first),,,,
251,Premier Systems,65,premierveterans.com,,Illinois,,,,IT Services and IT Consulting,,https://www.linkedin.com/company/premierveterans,Tier 3,40,30,7.0,8,85.0,A - Hot (contact first),,,,
252,"Kameddata.com, Inc.",193,kontactintelligence.com,,Florida,Pensacola,4400 Bayou Blvd Ste 12,,Software Development,,https://www.linkedin.com/company/kontactintelligence-inc.,Tier 3,40,30,7.0,8,85.0,A - Hot (contact first),,,,
253,"Bratcher Enterprises, Inc.",55,midasfamily.com,,Illinois,Orland Park,14810 S La Grange Rd,,Business Consulting and Services,,https://www.linkedin.com/company/midas-family-office,Tier 3,40,30,7.0,8,85.0,A - Hot (contact first),,,,
254,Ginnie Mae,185,ginniemae.gov,,District of Columbia,Washington,425 3rd Street Southwest,20024,Credit Intermediation,3961464.0,https://www.linkedin.com/company/ginnie-mae,Tier 3,40,28,7.0,10,85.0,A - Hot (contact first),,,,
255,AccuStaff,172,accustaffny.com,,New York,,,,Staffing and Recruiting,,https://www.linkedin.com/company/accustaff,Tier 3,40,30,7.0,8,85.0,A - Hot (contact first),,,,
256,Pittsburg Tank & Tower Group,181,pttg.com,,Kentucky,Henderson,1 Watertank Pl,42420,Construction,16238716.0,https://www.linkedin.com/company/pttg,Tier 2,40,20,14.0,10,84.0,B - Strong fit,,,,
257,Mayer,239,mayerllp.com,,Texas,Dallas,750 North Saint Paul Street,75201,Law Practice,35454379.0,https://www.linkedin.com/company/mayer-llp,Tier 2,40,20,14.0,10,84.0,B - Strong fit,,,,
258,Red Oak Recovery,96,redoakrecovery.com,,North Carolina,Leicester,631 Willow Creek Rd.,28748,Mental Health Care,10313656.0,https://www.linkedin.com/company/red-oak-recovery,Tier 2,40,20,14.0,10,84.0,B - Strong fit,,,,
259,Strauss Troy,98,strausstroy.com,,Ohio,Cincinnati,150 East 4th Street,45202,Law Practice,1038528.0,https://www.linkedin.com/company/strauss-troy,Tier 2,40,20,14.0,10,84.0,B - Strong fit,,,,
260,Center For International Environmental Law,74,ciel.org,,District of Columbia,Washington,1101 15th Street Northwest,20005,Legal Services,2126565.0,https://www.linkedin.com/company/the-center-for-international-environmental-law-ciel-/,Tier 2,40,20,14.0,10,84.0,B - Strong fit,,,,
261,Tei Electrical Solutions,72,teiconst.com,,Maryland,Frederick,4840 Winchester Blvd,21703,Building Equipment Contractors,686621.0,https://www.linkedin.com/company/tei-construction,Tier 2,40,20,14.0,10,84.0,B - Strong fit,,,,
262,Lighting Maintenance,95,lightingmaintenance.com,,Virginia,Alexandria,14714 Southlawn Ln.,22310,Building Equipment Contractors,1960209.0,https://www.linkedin.com/company/lighting-maintenance-inc,Tier 2,40,20,14.0,10,84.0,B - Strong fit,,,,
263,TFMoran,80,tfmoran.com,,New Hampshire,Manchester,48 Constitution Dr,3110,Civil Engineering,1378616.0,https://www.linkedin.com/company/tf-moran,Tier 2,40,20,14.0,10,84.0,B - Strong fit,,,,
264,Accutitle Software,88,accu-title.com,,New Jersey,Beach Haven,Barclay Farms Shopping Center,8034,Real Estate,2228420.0,https://www.linkedin.com/company/accutitlesoftware,Tier 2,40,20,14.0,10,84.0,B - Strong fit,,,,
265,Center City Legal Reproductions,98,cclrinc.com,,Pennsylvania,Philadelphia,1315 Walnut St Ste 601,19107,Legal Services,2958329.0,https://www.linkedin.com/company/center-city-legal-reproductions,Tier 2,40,20,14.0,10,84.0,B - Strong fit,,,,
266,Northlake Steel,81,northlakesteel.com,,Ohio,Valley City,,,Machinery Manufacturing,773583.0,https://www.linkedin.com/company/northlake-steel-corporation,Tier 2,40,20,14.0,10,84.0,B - Strong fit,,,,
267,Agent Plus Realty,56,agentplusrealty.com,,Florida,Deerfield Beach,206 South Military Trail,33442,Real Estate Agents and Brokers,35440800.0,https://www.linkedin.com/company/agentplusrealty,Tier 2,40,20,14.0,10,84.0,B - Strong fit,,,,
268,Harrington Hoists,165,harringtonhoists.com,,Pennsylvania,Manheim,401 W End Ave,17545,Machinery Manufacturing,1056669.0,https://www.linkedin.com/company/harringtonhoist,Tier 2,40,20,14.0,10,84.0,B - Strong fit,,,,
269,Pitco,164,pitco.com,,New Hampshire,Bow,509 New Hampshire 3A,3304,Food and Beverage Services,1958126.0,https://www.linkedin.com/company/pitco,Tier 2,40,20,14.0,10,84.0,B - Strong fit,,,,
270,Gibson Electric,170,gibsonelec.com,,Illinois,Downers Grove,3100 Woodcreek Dr.,60515,Building Equipment Contractors,1712783.0,https://www.linkedin.com/company/gibson-electric-&-technology-solutions,Tier 2,40,20,14.0,10,84.0,B - Strong fit,,,,
271,PVEDI,125,pve-llc.com,,Pennsylvania,Sewickley,Ste. 101 2000 Georgetowne Dr.,15143,Civil Engineering,5206871.0,https://www.linkedin.com/company/pvedi-ae/,Tier 2,40,20,14.0,10,84.0,B - Strong fit,,,,
272,Sealy Management,127,sealyrealty.com,,Alabama,Tuscaloosa,1200 Greensboro Avenue,35401,Real Estate,9239099.0,https://www.linkedin.com/company/sealy-management-co-inc-,Tier 2,40,20,14.0,10,84.0,B - Strong fit,,,,
273,Links Unlimited,99,linksunlimited.com,,Ohio,Cincinnati,7050 Links Drive,45237,Wholesale,679228.0,https://www.linkedin.com/company/links-unlimited-inc-,Tier 2,40,20,14.0,10,84.0,B - Strong fit,,,,
274,Grand Industrial,64,grandindustrial.com,,Indiana,Indianapolis,802 East 86th Street,46240,Construction,656099.0,https://www.linkedin.com/company/grand-industrial,Tier 2,40,20,14.0,10,84.0,B - Strong fit,,,,
275,CompDrug,109,compdrug.org,,Ohio,Columbus,1410 Cleveland Ave.,43211,Mental Health Care,274431.0,https://www.linkedin.com/company/compdrug,Tier 2,40,20,14.0,10,84.0,B - Strong fit,,,,
276,Ghk Capital Partners,401,ghk.com,,Connecticut,Greenwich,28 Havemeyer Place,6830,Investment Management,27212974.0,https://www.linkedin.com/company/ghkcapital,Tier 2,30,30,14.0,10,84.0,B - Strong fit,,,,
277,Nexum,96,nexuminc.com,,Illinois,Chicago,190 S La Salle St,60603,Security and Investigations,244940.0,https://www.linkedin.com/company/nexum-inc/,Tier 2,40,20,14.0,10,84.0,B - Strong fit,,,,
278,Vibco Vibrators,88,vibco.com,,Rhode Island,Wyoming,,,Machinery Manufacturing,357544.0,https://www.linkedin.com/company/vibco,Tier 2,40,20,14.0,10,84.0,B - Strong fit,,,,
279,View,111,theviewpro.com,,Texas,Austin,501 Congress Avenue,78701,Media Production,18872234.0,https://www.linkedin.com/company/the-view-3dvisualization,Tier 2,40,20,14.0,10,84.0,B - Strong fit,,,,
280,Happy Trails,82,happytrailscbd.com,,Wisconsin,Appleton,3416 West College Avenue,54913,Wellness and Fitness Services,14811714.0,https://www.linkedin.com/company/happy-trails-cbd,Tier 2,40,20,14.0,10,84.0,B - Strong fit,,,,
281,Sanders Team Realty,141,sandersteamrealty.com,,Georgia,Woodstock,625 Molly Lane,30189,Real Estate Agents and Brokers,7199006.0,https://www.linkedin.com/company/sanders-team-realty,Tier 2,40,20,14.0,10,84.0,B - Strong fit,,,,
282,Detroit Automotive Group,81,dtigroup.com,,Michigan,,,,Motor Vehicle Manufacturing,950839.0,https://www.linkedin.com/company/alliance-interiors-llc,Tier 2,40,20,14.0,10,84.0,B - Strong fit,,,,
283,Women's Initiative,81,thewomensinitiative.org,,Virginia,Charlottesville,1101 East High Street,22902,Mental Health Care,81883040.0,https://www.linkedin.com/company/the-women-s-initiative,Tier 2,40,20,14.0,10,84.0,B - Strong fit,,,,
284,Laney Directional Drilling Company,100,laneydrilling.com,,Texas,Waller,1100 Alegacy Pl,77484,Construction,6393391.0,https://www.linkedin.com/company/laney,Tier 2,40,20,14.0,10,84.0,B - Strong fit,,,,
285,Recruitics,500,recruitics.com,,New York,New York,230 East Avenue,6855,Advertising Services,1177873.0,https://www.linkedin.com/company/recruitics,Tier 2,30,30,14.0,10,84.0,B - Strong fit,,,,
286,Perfex Chemical Solutions,95,perfexservices.com,,Oklahoma,Clinton,1050 N Price Rd,79065,Oil and Gas,51589798.0,https://www.linkedin.com/company/perfex-chemical-solutions,Tier 2,40,20,14.0,10,84.0,B - Strong fit,,,,
287,Buckner Heavylift Cranes,236,bucknerheavylift.com,United States,North Carolina,Graham,4732 North Carolina 54,27253,Construction,2201784.0,https://www.linkedin.com/company/bucknerheavyliftcranes,Tier 2,40,20,14.0,10,84.0,B - Strong fit,,,,
288,Blaw-knox,94,blawknox.com,,Florida,Orlando,,,Machinery Manufacturing,82491838.0,https://www.linkedin.com/company/blaw-knox,Tier 2,40,20,14.0,10,84.0,B - Strong fit,,,,
289,Corre,94,correinc.com,,Wisconsin,Madison,6510 Grand Teton Plaza,53719,Civil Engineering,2188696.0,https://www.linkedin.com/company/correinc,Tier 2,40,20,14.0,10,84.0,B - Strong fit,,,,
290,Marty B's,99,martybsplace.com,,Texas,Argyle,,,Food and Beverage Services,27010766.0,https://www.linkedin.com/company/martybs,Tier 2,40,20,14.0,10,84.0,B - Strong fit,,,,
291,Ventois,264,ventois.com,,Massachusetts,Shrewsbury,26 Julio Drive #Suite 201,1545,IT Services and IT Consulting,2957000.0,https://www.linkedin.com/company/ventois-inc,Tier 2,30,30,14.0,10,84.0,B - Strong fit,,,,
292,Runway 7,67,runway7fashion.com,,New York,New York,,,Entertainment Providers,93870204.0,https://www.linkedin.com/company/runway-7-fashion,Tier 2,40,20,14.0,10,84.0,B - Strong fit,,,,
293,Vaswani,82,vaswaniinc.com,,Texas,Frisco,75 Carter Dr Ste 1,8817,Retail,2225972.0,https://www.linkedin.com/company/vaswani-inc-/people/,Tier 2,40,20,14.0,10,84.0,B - Strong fit,,,,
294,Sunset Pool Management,77,sunsetpoolsmgmt.com,,Virginia,Arlington,2701 N PERSHING DR,22201,Facilities Services,56933703.0,https://www.linkedin.com/company/sunset-pool-inc,Tier 2,40,20,14.0,10,84.0,B - Strong fit,,,,
295,Willig Williams & Davidson,76,wwdlaw.com,,Pennsylvania,Philadelphia,1845 Walnut Street,19103,Law Practice,109699.0,https://www.linkedin.com/company/willig-williams-&-davidson,Tier 2,40,20,14.0,10,84.0,B - Strong fit,,,,
296,Tsc Offshore,223,tscoffshore.com,,Texas,Houston,7611 Railhead Ln,77086,Oil and Gas,579581.0,https://www.linkedin.com/company/tsc-offshore-group,Tier 2,40,20,14.0,10,84.0,B - Strong fit,,,,
297,Ptr Baler and Compactor Company,203,ptrco.com,,Pennsylvania,Philadelphia,2207 Ontario Street,19134,Machinery Manufacturing,703365.0,https://www.linkedin.com/company/ptr-baler-&-compactor,Tier 2,40,20,14.0,10,84.0,B - Strong fit,,,,
298,AIS Infrastructure,204,ais-infrastructurellc.com/,,Georgia,Carrollton,2250 Lovvorn Road,30117,Construction,3911951.0,https://www.linkedin.com/company/bradcoleconstruction,Tier 2,40,20,14.0,10,84.0,B - Strong fit,,,,
299,La Vida Hospitality,51,lavidahospitality.com,,Delaware,Rehoboth Beach,,,Hospitality,25039217.0,https://www.linkedin.com/company/lavidahg,Tier 2,40,20,14.0,10,84.0,B - Strong fit,,,,
300,Ramco Specialties,200,ramcospecialties.com,,Ohio,Hudson,5369 Hudson Dr,44236,Motor Vehicle Manufacturing,4357759.0,https://www.linkedin.com/company/ramco-specialties-inc,Tier 2,40,20,14.0,10,84.0,B - Strong fit,,,,
301,Sensidyne,68,sensidyne.com,,Florida,St Petersburg,1000 112th Circle North,33716,Environmental Services,121336.0,https://www.linkedin.com/company/sensidyne,Tier 2,40,20,14.0,10,84.0,B - Strong fit,,,,
302,Allegheny Millwork,118,alleghenymillwork.com,,Pennsylvania,Lawrence,104 Commerce Boulevard,15203,Construction,2241883.0,https://www.linkedin.com/company/allegheny-millwork,Tier 2,40,20,14.0,10,84.0,B - Strong fit,,,,
303,Capital Electric Construction,162,capitalelectric.com,,Kansas,Kansas City,,,Building Equipment Contractors,821413.0,https://www.linkedin.com/company/capital-electric-construction-company-inc.,Tier 2,40,20,14.0,10,84.0,B - Strong fit,,,,
304,Zuckerman Spaeder,161,zuckerman.com,,District of Columbia,Washington,"1800 M St NW, Ste 1000",20036,Law Practice,23898.0,https://www.linkedin.com/company/zuckerman-spaeder-llp,Tier 2,40,20,14.0,10,84.0,B - Strong fit,,,,
305,North American Properties,162,naproperties.com,,Ohio,Cincinnati,212 East 3rd Street,45202,Real Estate,293843.0,https://www.linkedin.com/company/north-american-properties,Tier 2,40,20,14.0,10,84.0,B - Strong fit,,,,
306,Hi-crush Blair,168,hicrushinc.com,,Texas,Houston,2777 Allen Pkwy Ste 600,77019,Oil and Gas,7121659.0,https://www.linkedin.com/company/hi-crush-proppants,Tier 2,40,20,14.0,10,84.0,B - Strong fit,,,,
307,Guardian Property Management,123,guardianprop.com,,Minnesota,Saint Paul,"708 Cleveland Ave SW, #160",55112,Real Estate,1443379.0,https://www.linkedin.com/company/guardian-property-management,Tier 2,40,20,14.0,10,84.0,B - Strong fit,,,,
308,Dvm Industries,51,dvmindustries.us,,New York,New York,1965 Steinway St,11105,Facilities Services,11487144.0,https://www.linkedin.com/company/dvm-industries,Tier 2,40,20,14.0,10,84.0,B - Strong fit,,,,
309,Dreamhouse,51,staydreamhouse.com,,Georgia,Atlanta,,,Real Estate,16208383.0,https://www.linkedin.com/company/staydreamhouse,Tier 2,40,20,14.0,10,84.0,B - Strong fit,,,,
310,Center For Emotional Health,201,cehcharlotte.com,,North Carolina,Charlotte,,,Mental Health Care,1278061.0,https://www.linkedin.com/company/centerforemotionalhealth,Tier 2,40,20,14.0,10,84.0,B - Strong fit,,,,
311,Coastal Pet Products,200,coastalpet.com,,Ohio,Alliance,911 Leadway Ave,44601,Manufacturing,261008.0,https://www.linkedin.com/company/coastal-pet-products-inc-,Tier 2,40,20,14.0,10,84.0,B - Strong fit,,,,
312,Innovent Technologies,53,innoventtech.com,,Massachusetts,Peabody,107 Audubon Road,1880,Manufacturing,144857.0,https://www.linkedin.com/company/innovent-technologies,Tier 2,40,20,14.0,10,84.0,B - Strong fit,,,,
313,Action Equipment,53,actrents.com,,Florida,Miami,3007 Northwest South River Drive,33142,Construction,11546050.0,https://www.linkedin.com/company/action-equipment-fl,Tier 2,40,20,14.0,10,84.0,B - Strong fit,,,,
314,Hmfh Architects,56,hmfh.com,,Massachusetts,Cambridge,130 Bishop Allen Drive,2139,Architecture and Planning,143856.0,https://www.linkedin.com/company/hmfh-architects-inc.,Tier 2,40,20,14.0,10,84.0,B - Strong fit,,,,
315,Afco Performance Group,52,afcoperformancegroup.com,,Indiana,Boonville,,,Motor Vehicle Manufacturing,2023507.0,https://www.linkedin.com/company/afco-performance-group,Tier 2,40,20,14.0,10,84.0,B - Strong fit,,,,
316,NeuroScience,144,neuroscienceinc.com,,Wisconsin,Knoxville,,,Wellness and Fitness Services,120361.0,https://www.linkedin.com/company/neuroscience,Tier 2,40,20,14.0,10,84.0,B - Strong fit,,,,
317,FILAMATIC,63,filamatic.com,,Maryland,Baltimore,4119 Fordleigh Rd,21215,Machinery Manufacturing,207822.0,https://www.linkedin.com/company/filamatic/,Tier 2,40,20,14.0,10,84.0,B - Strong fit,,,,
318,Argus Consulting,149,argusconsulting.com,,Kansas,Leawood,6363 College Boulevard,66211,Oil and Gas,140984.0,https://www.linkedin.com/company/argus-consulting,Tier 2,40,20,14.0,10,84.0,B - Strong fit,,,,
319,Wilkinson Barker Knauer,138,wbklaw.com,,District of Columbia,Washington,2300 N Street Northwest #700,20037,Law Practice,61374.0,https://www.linkedin.com/company/wilkinson-barker-knauer-llp,Tier 2,40,20,14.0,10,84.0,B - Strong fit,,,,
320,Canvas Health,219,canvashealth.org,,Minnesota,St Paul,7066 Stillwater Boulevard North,55128,Mental Health Care,3504837.0,https://www.linkedin.com/company/canvas-health,Tier 2,40,20,14.0,10,84.0,B - Strong fit,,,,
321,Allied Title & Escrow,58,alliedtitleandescrow.com,,Virginia,Arlington,3100 Clarendon Boulevard,22201,Real Estate,11337546.0,https://www.linkedin.com/company/allied-title-escrow/,Tier 2,40,20,14.0,10,84.0,B - Strong fit,,,,
322,Marshall Gerstein & Borun,220,marshallip.com,,Illinois,Chicago,"233 South Wacker Dr, 6300 Willis Tower",60606,Law Practice,36428.0,https://www.linkedin.com/company/marshall-gerstein-&-borun-llp,Tier 2,40,20,14.0,10,84.0,B - Strong fit,,,,
323,Performance Pulsation Control,57,performancepulsation.com,,Texas,Richardson,3309 Essex Drive,75082,Oil and Gas,3917447.0,https://www.linkedin.com/company/performance-pulsation-control,Tier 2,40,20,14.0,10,84.0,B - Strong fit,,,,
324,Macaran Printed Products,51,macaran.com,,New York,Cohoes,18 New Courtland Street,12047,Printing Services,1654083.0,https://www.linkedin.com/company/macaran-printed-products,Tier 2,40,18,14.0,10,82.0,B - Strong fit,,,,
